=====================  =======================  ============================  ====================
Baro_Pressure [KPa]    Temperature [Celsius]    Acceleration [m/s^2]          Magnetic_Field [T]
=====================  =======================  ============================  ====================
76.5020                15.0400                  [0. 0. 0.]                    [0. 0. 0.]
101.4009               15.0400                  [  0.0332   0.0005 190.2441]  [0. 0. 0.]
101.4009               15.0400                  [  0.0664   0.0021 190.245 ]  [0. 0. 0.]
101.4009               15.0399                  [  0.1342   0.0085 190.2459]  [0. 0. 0.]
101.4007               15.0396                  [  0.2356   0.0263 190.2464]  [0. 0. 0.]
101.4002               15.0393                  [  0.3679   0.065  190.2466]  [0. 0. 0.]
101.3996               15.0388                  [  0.5251   0.1365 190.2464]  [0. 0. 0.]
101.3986               15.0381                  [  0.6964   0.2537 190.2456]  [0. 0. 0.]
101.3975               15.0374                  [  0.8645   0.4284 190.2443]  [0. 0. 0.]
101.3961               15.0365                  [  1.0046   0.6677 190.2424]  [0. 0. 0.]
101.3945               15.0356                  [  1.0856   0.9692 190.2399]  [0. 0. 0.]
101.3927               15.0344                  [  1.0731   1.3162 190.2369]  [0. 0. 0.]
101.3907               15.0332                  [  0.9364   1.673  190.2336]  [0. 0. 0.]
101.3884               15.0319                  [  0.6594   1.9847 190.2303]  [0. 0. 0.]
101.3859               15.0304                  [  0.2531   2.1822 190.2274]  [0. 0. 0.]
101.3831               15.0288                  [ -0.233    2.1966 190.2253]  [0. 0. 0.]
101.3802               15.0270                  [ -0.7073   1.9823 190.2242]  [0. 0. 0.]
101.3770               15.0252                  [ -1.0475   1.5447 190.2242]  [0. 0. 0.]
101.3735               15.0232                  [ -1.1316   0.9632 190.2246]  [0. 0. 0.]
101.3699               15.0211                  [ -0.8867   0.3932 190.2248]  [0. 0. 0.]
101.3660               15.0189                  [ -0.3419   0.0335 190.2235]  [0. 0. 0.]
101.3619               15.0165                  [  0.3432   0.0541 190.2199]  [0. 0. 0.]
101.3575               15.0141                  [  0.9037   0.5032 190.2137]  [0. 0. 0.]
101.3530               15.0115                  [  1.0665   1.2368 190.2056]  [0. 0. 0.]
101.3482               15.0088                  [  0.6975   1.9298 190.1976]  [0. 0. 0.]
101.3432               15.0059                  [ -0.0735   2.2057 190.1916]  [0. 0. 0.]
101.3379               15.0030                  [ -0.8498   1.8543 190.1888]  [0. 0. 0.]
101.3324               14.9999                  [ -1.1498   1.0225 190.1885]  [0. 0. 0.]
101.3267               14.9967                  [ -0.7228   0.2129 190.1878]  [0. 0. 0.]
101.3208               14.9933                  [  0.1997   0.0053 190.1835]  [0. 0. 0.]
101.3146               14.9899                  [  0.9616   0.6154 190.1745]  [0. 0. 0.]
101.3082               14.9863                  [  0.9287   1.6225 190.163 ]  [0. 0. 0.]
101.3016               14.9826                  [  0.0584   2.1918 190.1537]  [0. 0. 0.]
101.2948               14.9788                  [ -0.9251   1.7648 190.1496]  [0. 0. 0.]
101.2877               14.9748                  [ -1.0808   0.6731 190.1491]  [0. 0. 0.]
101.2804               14.9707                  [ -0.1874  -0.0217 190.1461]  [0. 0. 0.]
101.2729               14.9665                  [  0.8701   0.4549 190.1363]  [0. 0. 0.]
101.2651               14.9622                  [  0.9065   1.6437 190.1223]  [0. 0. 0.]
101.2571               14.9578                  [ -0.1902   2.1786 190.1118]  [0. 0. 0.]
101.2489               14.9532                  [ -1.1277   1.3504 190.1085]  [0. 0. 0.]
101.2405               14.9485                  [ -0.676    0.1534 190.1071]  [0. 0. 0.]
101.2318               14.9437                  [  0.6293   0.1932 190.0985]  [0. 0. 0.]
101.2229               14.9388                  [  0.9805   1.4789 190.0828]  [0. 0. 0.]
101.2138               14.9337                  [ -0.1928   2.1702 190.0702]  [0. 0. 0.]
101.2045               14.9285                  [ -1.1599   1.17   190.0667]  [0. 0. 0.]
101.1949               14.9232                  [ -0.3632  -0.0031 190.0639]  [0. 0. 0.]
101.1851               14.9178                  [  0.9519   0.5898 190.0511]  [0. 0. 0.]
101.1751               14.9122                  [  0.5409   1.9994 190.0335]  [0. 0. 0.]
101.1648               14.9066                  [ -0.9327   1.7397 190.025 ]  [0. 0. 0.]
101.1543               14.9007                  [ -0.7888   0.2231 190.0231]  [0. 0. 0.]
101.1436               14.8948                  [  0.7563   0.2951 190.0123]  [0. 0. 0.]
101.1327               14.8888                  [  0.706    1.8643 189.9928]  [0. 0. 0.]
101.1215               14.8826                  [ -0.8883   1.7863 189.9823]  [0. 0. 0.]
101.1101               14.8763                  [ -0.7347   0.1715 189.9801]  [0. 0. 0.]
101.0985               14.8699                  [  0.8849   0.4535 189.9671]  [0. 0. 0.]
